seed,source_total,scenario,error_mode,saved_seconds_per_source,v200_success,v200_seconds_per_source,v200_total_virtual_time_s,v200_runtime_s,v200_movement_time_s,v200_measurement_time_s,v200_switching_time_s,v200_clearing_time_s,v200_tail_after_last_clear_s,v201_success,v201_seconds_per_source,v201_total_virtual_time_s,v201_runtime_s,v201_movement_time_s,v201_measurement_time_s,v201_switching_time_s,v201_clearing_time_s,v201_tail_after_last_clear_s
2026098312,12,min_radius,negative,-3.237510963160844,True,253.65239608442346,3043.8287530130815,10.156000000002678,2330.8287530130815,540.0,104.0,69.0,0.0,True,256.8899070475843,3082.6788845710116,6.436999999998079,2350.6788845710107,560.0,106.0,66.0,0.0
2026098313,15,min_radius,negative,-7.0014689202944,True,214.34984695466298,3215.2477043199447,4.9689999999973224,2525.2477043199447,515.0,100.0,75.0,293.56729527272864,True,221.35131587495738,3320.2697381243606,7.875,2566.2697381243606,565.0,108.0,81.0,0.0
2026098314,10,min_radius,negative,-0.2203789510044203,True,276.8279061959407,2768.2790619594075,3.2340000000040163,2007.2790619594082,590.0,115.0,56.0,484.86915929724273,True,277.04828514694515,2770.4828514694514,5.688000000001921,1997.4828514694514,600.0,114.0,59.0,0.0
2026098315,10,min_radius,negative,0.7208412288114232,True,271.9561654645482,2719.5616546454817,3.2969999999986612,1985.5616546454821,570.0,111.0,53.0,0.0,True,271.23532423573675,2712.3532423573674,4.875,1962.3532423573674,585.0,112.0,53.0,179.15318647787308
2026098316,14,min_radius,negative,-3.1499755209261195,True,202.69295643236111,2837.7013900530555,3.8280000000013388,2214.7013900530555,465.0,85.0,73.0,156.89845661336994,True,205.84293195328723,2881.8010473460213,6.234000000004016,2171.801047346021,535.0,102.0,73.0,0.0
2026098317,14,min_radius,negative,1.1276430805321809,True,215.17673014334633,3012.474222006849,3.875,2310.4742220068483,520.0,100.0,82.0,0.0,True,214.04908706281415,2996.687218879398,6.312999999994645,2268.687218879398,545.0,104.0,79.0,0.0
2026098318,12,min_radius,negative,0.9778778303771105,True,260.28163153864153,3123.3795784636986,3.9059999999954016,2335.3795784636986,605.0,117.0,66.0,0.0,True,259.3037537082644,3111.645044499173,6.125,2293.6450444991733,630.0,119.0,69.0,0.0
2026098319,11,min_radius,negative,22.69642440321445,True,280.1938795421988,3082.132674964186,3.3440000000045984,2331.132674964187,575.0,109.0,67.0,0.0,True,257.4974551389843,2832.4720065288275,6.51600000000326,2070.4720065288266,585.0,110.0,67.0,0.0
2026098400,12,clustered,legacy,-2.0676549463890126,True,186.44230026291686,2237.307603155002,2.3289999999979045,1557.3076031550022,520.0,100.0,60.0,187.7167803759894,True,188.50995520930587,2262.1194625116705,7.780999999995402,1557.1194625116707,540.0,105.0,60.0,188.58254632390663
2026098401,12,clustered,legacy,-1.1085824854327768,True,184.43480883248822,2213.2177059898586,2.437999999994645,1562.2177059898581,495.0,96.0,60.0,171.13209714600748,True,185.543391317921,2226.520695815052,7.14100000000326,1536.520695815052,525.0,102.0,63.0,171.1320971460077
2026098402,13,clustered,legacy,0.9318066637553386,True,182.48690975058344,2372.3298267575847,2.936999999998079,1614.329826757585,580.0,113.0,65.0,197.6451511811547,True,181.5551030868281,2360.2163401287653,12.60899999999674,1602.2163401287658,580.0,113.0,65.0,197.81075072848898
2026098403,10,clustered,legacy,-8.795241223487693,True,233.2703213431711,2332.703213431711,2.561999999998079,1625.7032134317112,550.0,107.0,50.0,201.344116224333,True,242.0655625666588,2420.655625666588,13.077999999994063,1614.6556256665888,630.0,123.0,53.0,97.84258213108615
2026098404,15,clustered,legacy,-0.5665572435723902,True,152.59404752973026,2288.910712945954,3.4059999999954016,1596.910712945954,515.0,99.0,78.0,176.96825445462537,True,153.16060477330265,2297.40907159954,6.125,1529.4090715995399,580.0,113.0,75.0,56.725902272658914
2026098405,10,clustered,legacy,-4.664430479634461,True,224.9888044828013,2249.888044828013,3.0780000000013388,1507.888044828013,580.0,112.0,50.0,153.37967550683197,True,229.65323496243576,2296.5323496243577,3.952999999994063,1539.5323496243575,590.0,114.0,53.0,173.85884840055405
2026098406,10,clustered,legacy,-0.6490105843288347,True,233.47751847060167,2334.7751847060167,3.0,1514.7751847060165,635.0,120.0,65.0,84.66669470863962,True,234.1265290549305,2341.265290549305,5.312000000005355,1536.2652905493048,630.0,119.0,56.0,84.51522586342753
2026098407,13,clustered,legacy,-1.5093909913166783,True,177.9935086205442,2313.9156120670746,2.7810000000026776,1565.915612067074,570.0,110.0,68.0,156.81418815225925,True,179.50289961186087,2333.5376949541915,3.7810000000026776,1566.5376949541915,585.0,114.0,68.0,157.08633679063087
2026098408,13,clustered,legacy,0.7743931991660986,True,179.94134122599777,2339.237435937971,3.0930000000007567,1620.2374359379708,545.0,106.0,68.0,157.05336556638804,True,179.16694802683168,2329.170324348812,3.7660000000032596,1619.1703243488112,540.0,105.0,65.0,157.05336556638804
2026098409,10,clustered,legacy,-40.050087764684804,True,227.68079302490537,2276.8079302490537,2.8909999999959837,1520.807930249054,590.0,116.0,50.0,227.89499134261223,True,267.7308807895902,2677.3088078959017,5.297000000005937,1878.3088078959013,625.0,124.0,50.0,0.0
2026098410,12,clustered,legacy,2.7082732531733313,True,190.1469507253769,2281.763408704523,2.438000000001921,1608.763408704523,515.0,98.0,60.0,155.48013809824897,True,187.43867747220358,2249.264129666443,5.046999999998661,1484.2641296664424,590.0,115.0,60.0,84.35975122175068
2026098411,14,clustered,legacy,0.7545690086503782,True,170.06790441915837,2380.950661868217,2.7819999999992433,1677.9506618682167,530.0,103.0,70.0,175.60513184555975,True,169.313335410508,2370.386695747112,5.186999999998079,1613.386695747112,570.0,111.0,76.0,108.95718234322976
2026098412,14,clustered,legacy,-0.254681411442931,True,176.45855681832646,2470.4197954565702,4.51600000000326,1691.4197954565698,590.0,113.0,76.0,69.26241390845871,True,176.7132382297694,2473.9853352167715,6.046999999998661,1703.9853352167706,580.0,114.0,76.0,70.81758768176951
2026098413,10,clustered,legacy,2.4705576878867532,True,228.13483313836008,2281.348331383601,3.3910000000032596,1438.348331383601,660.0,127.0,56.0,113.41586741313995,True,225.66427545047333,2256.642754504733,6.421999999998661,1430.642754504734,645.0,125.0,56.0,115.80587136817621
2026098414,15,clustered,legacy,0.7931746232641217,True,155.23049052729965,2328.457357909495,3.0469999999986612,1644.4573579094947,510.0,99.0,75.0,171.7436398216646,True,154.43731590403553,2316.559738560533,8.5,1606.5597385605336,530.0,102.0,78.0,77.5725791600612
2026098415,11,clustered,legacy,14.446888969872731,True,218.78965561793586,2406.6862117972946,3.0469999999986612,1686.6862117972948,555.0,107.0,58.0,224.63214350642238,True,204.34276664806313,2247.7704331286945,7.625,1507.7704331286945,570.0,109.0,61.0,122.51375543989116
2026098416,12,clustered,legacy,-4.343355094263501,True,195.34286011421796,2344.1143213706155,3.312999999994645,1523.114321370616,635.0,123.0,63.0,104.8849642939499,True,199.68621520848146,2396.2345825017774,6.9689999999973224,1585.234582501777,630.0,121.0,60.0,107.11141075483738
2026098417,14,clustered,legacy,-1.6148197382791807,True,167.0350060685706,2338.4900849599885,3.2969999999986612,1624.4900849599885,540.0,104.0,70.0,155.51618718005693,True,168.64982580684978,2361.097561295897,4.062000000005355,1634.0975612958964,550.0,107.0,70.0,173.3738737865542
2026098418,13,clustered,legacy,-1.7708128189106276,True,200.91348276167642,2611.8752759017934,3.688000000001921,1854.8752759017939,580.0,112.0,65.0,250.6634091901701,True,202.68429558058705,2634.8958425476317,6.109000000004016,1867.8958425476314,585.0,111.0,71.0,250.41900472757425
2026098419,11,clustered,legacy,-0.21431650424344184,True,203.54467781192062,2238.991455931127,3.7810000000026776,1502.9914559311267,570.0,108.0,58.0,0.0,True,203.75899431616406,2241.3489374778046,4.436999999998079,1497.3489374778046,575.0,108.0,61.0,0.0
