case_id,case_name,seed,directional_probability,source_count,directional_count,omnidirectional_count,confirmed_directional_count,cleared_count,success,total_time_s,seconds_per_source,movement_time_s,measurement_time_s,switching_time_s,clearing_time_s,survey_time_s,localization_time_s,measurement_count,clear_attempt_count,failed_clear_count,survey_station_count,grid_fallback_count,probe_no_signal_count,directional_block_count,range_no_signal_count,skipped_impossible_remeasure_count,survey_remeasure_count,survey_inserted_clear_count,survey_localized_skip_count,finish_shared_remeasure_count,directional_constraint_count,directional_probe_reorder_count
58,random seed=2007525800,2007525800,0.5,13,5,8,3,13,True,5668.87653784411,436.0674259880085,4258.876537844112,1130.0,209.0,71.0,5668.87653784411,0.0,226.0,15.0,2.0,21,0,0,9,41,12,29.0,13.0,30.0,0.0,3.0,0.0
59,random seed=2007525801,2007525801,0.5,11,4,7,1,11,True,5621.377867333094,511.03435157573585,4077.3778673330953,1255.0,231.0,58.0,5621.377867333094,0.0,251.0,12.0,1.0,21,0,0,5,31,17,24.0,11.0,48.0,0.0,1.0,0.0
60,random seed=2007525802,2007525802,0.5,10,9,1,1,10,True,6941.488712640641,694.1488712640642,5050.548238458495,1500.0,282.0,49.0,6126.30502709253,815.1836855481115,300.0,11.0,3.0,21,2,1,15,52,17,18.0,9.0,28.0,0.0,2.0,0.0
61,random seed=2007525803,2007525803,0.5,12,3,9,2,12,True,5835.004193693008,486.25034947441736,4256.004193693007,1270.0,237.0,72.0,5450.88080510392,384.1233885890888,254.0,16.0,4.0,21,0,0,6,51,29,35.0,9.0,59.0,0.0,3.0,0.0
62,random seed=2007525804,2007525804,0.5,16,6,10,2,16,True,4553.346243687516,284.58414023046976,3620.346243687516,710.0,131.0,92.0,4300.687867998386,252.65837568913048,142.0,20.0,4.0,16,0,1,9,36,12,25.0,15.0,47.0,0.0,2.0,0.0
63,random seed=2007525805,2007525805,0.5,16,9,7,1,16,True,5150.897938098414,321.93112113115086,4074.2582380743615,815.0,147.0,84.0,3845.096161720614,1305.8017763777998,163.0,18.0,3.0,15,1,2,23,46,12,24.0,12.0,19.0,0.0,1.0,0.0
64,random seed=2007525806,2007525806,0.5,12,7,5,2,12,True,5787.66408918938,482.3053407657817,4185.66408918938,1300.0,239.0,63.0,5646.0717254991205,141.59236369025984,260.0,13.0,1.0,21,0,0,10,55,19,24.0,11.0,20.0,0.0,2.0,0.0
65,random seed=2007525807,2007525807,0.5,16,11,5,2,16,True,6086.615590381533,380.41347439884584,4910.615590381533,930.0,163.0,83.0,5125.5556266337335,961.0599637477999,186.0,17.0,1.0,18,0,6,20,62,31,27.0,12.0,22.0,5.0,2.0,0.0
66,random seed=2007525808,2007525808,0.5,13,8,5,1,13,True,6185.43732857906,475.8028714291585,4663.437328579059,1225.0,226.0,71.0,5452.29393912863,733.1433894504298,245.0,15.0,2.0,21,0,1,10,58,23,19.0,11.0,53.0,0.0,1.0,1.0
67,random seed=2007525809,2007525809,0.5,11,5,6,0,11,True,5667.5469110475215,515.2315373679565,4033.864622321375,1310.0,243.0,56.0,5667.5469110475215,0.0,262.0,12.0,2.0,21,1,0,4,46,8,15.0,11.0,38.0,0.0,0.0,0.0
68,random seed=2007525810,2007525810,0.5,10,5,5,2,10,True,6452.648677961336,645.2648677961336,4737.648677961335,1405.0,260.0,50.0,5799.650266959533,652.9984110018031,281.0,10.0,0.0,21,0,0,7,43,11,21.0,9.0,36.0,0.0,2.0,1.0
69,random seed=2007525811,2007525811,0.5,14,5,9,0,14,True,5794.259863827194,413.87570455908525,4345.259863827196,1160.0,213.0,76.0,5412.502953691198,381.7569101359959,232.0,16.0,2.0,21,0,0,4,71,6,21.0,13.0,22.0,0.0,0.0,0.0
