clearing_s,clears,enroute_measures,failures,fallbacks,measurement_s,measures,move_m,movement_s,noise,route_end,scenario,seconds_per_source,seed,source_count,stations,success,switching_s,time_accounting_residual_s,total_time_s,variant,wall_s
53.0,11,7,1,0,1465.0,293,21330.960111556782,4266.1920223113575,seeded,False,random,605.9192022311357,2026098257,10,21,True,275.0,0.0,6059.1920223113575,candidate,1.3541163000045344
81.0,17,,2,0,1135.0,227,23393.548376417362,4678.709675283472,seeded,False,random,406.9139783522314,2026098258,15,21,True,209.0,-9.094947017729282e-13,6103.709675283471,baseline,6.026424499999848
78.0,16,10,1,0,1285.0,257,23750.23806333324,4750.047612666648,seeded,False,random,423.3365075111098,2026098258,15,21,True,237.0,-9.094947017729282e-13,6350.047612666647,candidate,2.4789440000022296
68.0,14,,1,0,985.0,197,20592.844252602048,4118.56885052041,seeded,False,random,411.58221927080075,2026098259,13,21,True,179.0,0.0,5350.56885052041,baseline,10.11148759999196
74.0,16,6,3,1,1070.0,214,20084.44238066772,4016.8884761335435,seeded,False,random,411.9144981641185,2026098259,13,21,True,194.0,-1.8189894035458565e-12,5354.888476133541,candidate,2.106104700011201
79.0,17,,3,1,1140.0,228,22375.94388721668,4475.188777443337,seeded,False,random,421.8706269602384,2026098260,14,21,True,212.0,0.0,5906.188777443337,baseline,6.329936699999962
97.0,23,8,9,2,1225.0,245,22089.832930954854,4417.966586190972,seeded,False,random,425.9261847279266,2026098260,14,21,True,223.0,9.094947017729282e-13,5962.9665861909725,candidate,1.9253657999943243
98.0,22,,6,1,930.0,186,23792.45400164011,4758.490800328021,seeded,False,random,372.0931750205013,2026098261,16,17,True,167.0,0.0,5953.490800328021,baseline,9.22879649999959
86.0,18,9,2,0,1200.0,240,23029.125060662886,4605.825012132576,seeded,False,random,381.92656325828597,2026098261,16,19,True,219.0,-9.094947017729282e-13,6110.8250121325755,candidate,1.88712790000136
87.0,19,,4,0,905.0,181,23748.937398923434,4749.787479784689,seeded,False,random,393.7191653189793,2026098262,15,21,True,164.0,9.094947017729282e-13,5905.78747978469,baseline,9.856255799997598
81.0,17,8,2,0,1025.0,205,22099.709275867855,4419.94185517357,seeded,False,random,381.19612367823794,2026098262,15,21,True,192.0,-9.094947017729282e-13,5717.941855173569,candidate,2.2995225000049686
64.0,14,,3,1,1260.0,252,23098.55950322125,4619.711900644252,seeded,False,random,561.519263694932,2026098263,11,21,True,233.0,0.0,6176.711900644252,baseline,6.695914199997787
61.0,13,4,2,1,1380.0,276,25588.52709810873,5117.705419621746,seeded,False,random,620.0641290565226,2026098263,11,21,True,262.0,1.8189894035458565e-12,6820.705419621748,candidate,1.1604203999886522
65.0,13,,0,0,1120.0,224,22863.50674005139,4572.701348010279,seeded,False,random,458.74625753925216,2026098264,13,21,True,206.0,-9.094947017729282e-13,5963.701348010278,baseline,6.275703899998916
86.0,20,7,7,1,1255.0,251,21308.422159320224,4261.684431864047,seeded,False,random,448.8988024510803,2026098264,13,21,True,233.0,-2.7284841053187847e-12,5835.684431864044,candidate,1.824950299996999
74.0,16,,3,1,1325.0,265,22368.35932878641,4473.671865757283,seeded,False,random,470.8978358274833,2026098265,13,21,True,249.0,0.0,6121.671865757283,baseline,5.657288999995217
86.0,20,11,7,2,1275.0,255,21637.80780492229,4327.561560984457,seeded,False,random,456.12012007572747,2026098265,13,21,True,241.0,0.0,5929.561560984457,candidate,1.940759799996158
70.0,14,,0,0,1235.0,247,24023.495800494107,4804.699160098821,seeded,False,random,452.9785114356301,2026098266,14,21,True,232.0,0.0,6341.699160098821,baseline,5.54891409999982
73.0,15,10,1,0,1340.0,268,23995.939798538337,4799.187959707668,seeded,False,random,461.2277114076907,2026098266,14,21,True,245.0,2.7284841053187847e-12,6457.18795970767,candidate,2.446018999995431
83.0,17,,1,0,710.0,142,19709.48224466265,3941.896448932529,seeded,False,random,304.056028058283,2026098267,16,11,True,130.0,-9.094947017729282e-13,4864.896448932528,baseline,9.936403100000462
98.0,22,7,6,1,780.0,156,19278.21543597146,3855.6430871942925,seeded,False,random,304.9776929496432,2026098267,16,11,True,146.0,-9.094947017729282e-13,4879.643087194291,candidate,2.540408100001514
59.0,13,,3,1,1530.0,306,23289.74591459833,4657.949182919666,seeded,False,random,653.2949182919666,2026098268,10,21,True,286.0,0.0,6532.949182919666,baseline,3.8348037999967346
56.0,12,9,2,1,1555.0,311,23984.47244108709,4796.894488217416,seeded,False,random,669.9894488217418,2026098268,10,21,True,292.0,1.8189894035458565e-12,6699.894488217418,candidate,1.1877441000106046
55.0,11,,0,0,1230.0,246,23226.29284411427,4645.258568822854,seeded,False,random,559.6598698929866,2026098269,11,21,True,226.0,0.0,6156.258568822854,baseline,5.0968337999947835
61.0,13,7,2,1,1335.0,267,21794.540566382995,4358.9081132766,seeded,False,random,545.9007375706,2026098269,11,21,True,250.0,0.0,6004.9081132766,candidate,2.134391500003403
90.0,20,,5,1,1070.0,214,21856.005030165576,4371.201006033115,seeded,False,random,382.01340040220776,2026098270,15,21,True,199.0,1.8189894035458565e-12,5730.201006033117,baseline,7.95540649999748
87.0,19,9,4,1,1230.0,246,21347.369110050022,4269.473822010003,seeded,False,random,387.6982548006669,2026098270,15,21,True,229.0,9.094947017729282e-13,5815.4738220100035,candidate,1.9885678999999072
259.0,79,,68,2,1510.0,302,27371.931053011303,5474.386210602261,seeded,False,random,684.12601914566,2026098271,11,21,True,282.0,0.0,7525.386210602261,baseline,4.94573570000648
379.0,119,8,108,1,1620.0,324,27605.368968632476,5521.073793726495,seeded,False,random,711.3703448842268,2026098271,11,21,True,305.0,0.0,7825.073793726495,candidate,1.8222017000080086
73.0,15,,1,0,1150.0,230,24460.70694457069,4892.1413889141395,seeded,False,random,451.8672420652956,2026098272,14,21,True,211.0,-9.094947017729282e-13,6326.141388914139,baseline,7.996422100011841
76.0,16,11,2,1,1285.0,257,23347.329764548445,4669.46595290969,seeded,False,random,447.96185377926355,2026098272,14,21,True,241.0,0.0,6271.46595290969,candidate,2.4825884999881964
84.0,18,,3,0,860.0,172,21603.5073150994,4320.701463019879,seeded,False,random,361.44676420132515,2026098273,15,21,True,157.0,-1.8189894035458565e-12,5421.701463019877,baseline,8.979388899999321
87.0,19,9,4,0,915.0,183,20661.00029528938,4132.200059057877,seeded,False,random,353.3466706038585,2026098273,15,21,True,166.0,0.0,5300.200059057877,candidate,3.06138070000452
85.0,19,,5,1,1055.0,211,22932.16632882699,4586.433265765398,seeded,False,random,422.8166618403855,2026098274,14,21,True,193.0,-9.094947017729282e-13,5919.433265765397,baseline,7.99896960001206
85.0,19,6,5,1,1035.0,207,21574.362661903942,4314.8725323807885,seeded,False,random,401.6337523129134,2026098274,14,21,True,188.0,-9.094947017729282e-13,5622.872532380788,candidate,2.2526705999916885
74.0,16,,3,1,1125.0,225,24324.186778571442,4864.837355714289,seeded,False,random,482.2182581318684,2026098275,13,21,True,205.0,9.094947017729282e-13,6268.8373557142895,baseline,6.754633000004105
80.0,18,7,5,1,1155.0,231,23255.07064844282,4651.014129688563,seeded,False,random,468.69339459142805,2026098275,13,21,True,207.0,1.8189894035458565e-12,6093.014129688565,candidate,2.2484593000117457
119.0,29,,13,3,765.0,153,18729.720519192328,3745.944103838465,seeded,False,random,298.12150648990405,2026098276,16,12,True,140.0,0.0,4769.944103838465,baseline,21.038767699996242
89.0,19,8,3,0,1040.0,208,18636.970454024904,3727.394090804981,seeded,False,random,315.3371306753113,2026098276,16,16,True,189.0,0.0,5045.394090804981,candidate,2.7115735999977915
65.0,13,,0,0,1235.0,247,26620.333023462674,5324.066604692536,seeded,False,random,527.0051234378875,2026098277,13,21,True,227.0,1.8189894035458565e-12,6851.066604692538,baseline,4.271971199996187
68.0,14,11,1,0,1340.0,268,22932.08697769543,4586.417395539087,seeded,False,random,480.26287657992964,2026098277,13,21,True,249.0,-1.8189894035458565e-12,6243.417395539085,candidate,2.2693755000072997
50.0,10,,0,0,1360.0,272,23655.435299362995,4731.087059872601,seeded,False,random,639.2087059872599,2026098278,10,21,True,251.0,-1.8189894035458565e-12,6392.087059872599,baseline,6.2922403999982635
59.0,13,6,3,1,1425.0,285,20621.589928278845,4124.317985655769,seeded,False,random,587.6317985655768,2026098278,10,21,True,268.0,-9.094947017729282e-13,5876.317985655768,candidate,1.562470899996697
70.0,14,,0,0,1000.0,200,22148.52674207909,4429.705348415819,seeded,False,random,405.83609631541566,2026098279,14,21,True,182.0,9.094947017729282e-13,5681.70534841582,baseline,11.292549399993732
82.0,18,9,4,1,1140.0,228,22820.76040392322,4564.1520807846455,seeded,False,random,428.29657719890326,2026098279,14,21,True,210.0,0.0,5996.1520807846455,candidate,2.7126751000032527
58.0,12,,1,0,1385.0,277,24071.124391244666,4814.224878248936,seeded,False,random,592.111352568085,2026098280,11,21,True,256.0,-9.094947017729282e-13,6513.224878248935,baseline,4.888415499997791
55.0,11,5,0,0,1430.0,286,21148.91205621617,4229.7824112432345,seeded,False,random,543.7984010221121,2026098280,11,21,True,267.0,-1.8189894035458565e-12,5981.782411243233,candidate,1.220269700002973
95.0,21,,5,1,660.0,132,21448.301485604075,4289.660297120817,seeded,False,random,322.79126857005093,2026098281,16,14,True,120.0,-1.8189894035458565e-12,5164.660297120815,baseline,11.458569599999464
104.0,24,6,8,2,825.0,165,18472.263890362807,3694.452778072561,seeded,False,random,298.403298629535,2026098281,16,14,True,151.0,-9.094947017729282e-13,4774.45277807256,candidate,3.1032524000038393
68.0,16,,6,1,1455.0,291,21803.646501496074,4360.729300299215,seeded,False,random,615.3729300299215,2026098282,10,21,True,270.0,0.0,6153.729300299215,baseline,5.85241269999824
53.0,11,7,1,0,1480.0,296,21672.241300344205,4334.44826006884,seeded,False,random,614.4448260068841,2026098282,10,21,True,277.0,1.8189894035458565e-12,6144.448260068842,candidate,1.7487192999979015
60.0,12,,0,0,1275.0,255,23611.56865585628,4722.313731171256,seeded,False,random,524.2761442642712,2026098283,12,21,True,234.0,-9.094947017729282e-13,6291.313731171255,baseline,7.14016540000739
72.0,16,9,4,1,1355.0,271,23526.835947636704,4705.367189527341,seeded,False,random,532.0305991272783,2026098283,12,21,True,252.0,-1.8189894035458565e-12,6384.367189527339,candidate,2.691416300003766
55.0,11,,0,0,1425.0,285,22823.700151730558,4564.740030346114,seeded,False,random,573.7945482132831,2026098284,11,21,True,267.0,0.0,6311.740030346114,baseline,5.321411099997931
58.0,12,4,1,0,1295.0,259,20150.810406518238,4030.162081303649,seeded,False,random,510.83291648214987,2026098284,11,21,True,236.0,0.0,5619.162081303649,candidate,2.2771294999984093
63.0,13,,1,0,1235.0,247,22615.752955580334,4523.150591116066,seeded,False,random,504.0125492596722,2026098285,12,21,True,227.0,9.094947017729282e-13,6048.150591116067,baseline,5.590140300002531
72.0,16,7,4,1,1325.0,265,22295.500067313864,4459.100013462774,seeded,False,random,508.67500112189765,2026098285,12,21,True,248.0,-1.8189894035458565e-12,6104.100013462772,candidate,1.8052216000069166
83.0,17,,1,0,865.0,173,19188.236568128545,3837.6473136257086,seeded,False,random,308.97795710160676,2026098286,16,16,True,158.0,0.0,4943.647313625708,baseline,8.274440499997581
86.0,18,10,2,0,985.0,197,19004.645821345795,3800.929164269159,seeded,False,random,315.9330727668224,2026098286,16,16,True,183.0,0.0,5054.929164269159,candidate,2.619946200007689
56.0,12,,2,0,1305.0,261,20530.03946557742,4106.007893115485,seeded,False,random,571.3007893115484,2026098287,10,21,True,246.0,0.0,5713.007893115485,baseline,6.0718764000048395
56.0,12,5,2,0,1310.0,262,20272.149726103657,4054.42994522073,seeded,False,random,566.4429945220733,2026098287,10,21,True,244.0,1.8189894035458565e-12,5664.429945220732,candidate,1.3676081000012346
